Stock,CAGR,WinRate,MaxDrawdown
BK,0.05120999447469754,0.5279057859703021,-0.3700724023611469
BKNG,0.07257009529467529,0.5188264058679707,-0.4792583187783284
BKR,0.07916152167291823,0.5068343357025697,-0.5799726045066295
BLDR,0.3275031816356442,0.5338114754098361,-0.47118849959001335
BLK,0.08249381687598634,0.5278058645096056,-0.3450306129513301
BMY,0.08790416930719958,0.5278350515463918,-0.2304950510925216
BR,0.09630121639633127,0.5311756306520704,-0.2638475721055107
BRK-B,0.08012383560945469,0.5220440881763527,-0.20060495302064077
BRO,0.1268257147831735,0.542789598108747,-0.2989504090839042
BSX,0.020278225056622468,0.49821337417049516,-0.420019728864226
BX,0.14754692167853145,0.5372686343171585,-0.47782520532963246
BXP,0.04447896709753141,0.5182707153885744,-0.5081747093250721
C,0.03193915020767868,0.5082228116710875,-0.48533744617644964
CAG,0.010416440805722793,0.5195729537366548,-0.3796544442546141
CAH,0.007504455135833199,0.5189298334174659,-0.6424406583824529
CARR,0.15801697653509694,0.5317604355716878,-0.3618849155183792
CAT,0.09708239785658535,0.5215845606907059,-0.37943008615943125
CB,0.05827510527942503,0.5164410058027079,-0.2740931994209061
CBOE,0.09961978717273667,0.5397219463753724,-0.3267538423234163
CBRE,0.1622622032974903,0.5336345381526104,-0.2684148839920351
CCI,0.04387418503164309,0.5212335692618807,-0.29407939673882394
CCL,0.07027341240260654,0.5153276955602537,-0.6334212109739853
CDNS,0.16348291971270323,0.5367472735893789,-0.2967896637610514
CDW,0.10261149966020411,0.5358090185676393,-0.30422104250076654
CF,0.024050467325883895,0.49919914575547253,-0.7796972089489362
CFG,0.03882755008070915,0.5164319248826291,-0.4237264575173118
CHD,0.09148892045440693,0.5412168792934249,-0.2359440204001821
CHRW,0.005134482876052449,0.5255474452554745,-0.6217666413597991
CHTR,0.07630262813923783,0.5091994032819492,-0.4388552542758895
CI,0.05313792797183403,0.5219065960519981,-0.5408025859481869
CINF,0.0958136590052403,0.5352380952380953,-0.36458473732864055
CL,7.96776100757679e-05,0.5105105105105106,-0.3040280228911656
CLX,0.024530595408441158,0.5316518298714145,-0.43129410126218976
CMCSA,0.053722819665640076,0.5228036485837734,-0.3556928773312062
CME,0.0422927393692214,0.5210171250648676,-0.3581100213308999
CMG,0.1856882341356887,0.5385356454720617,-0.4232749571444516
CMI,0.09927389213922289,0.5256410256410257,-0.3275637202514124
CMS,0.05581581336935093,0.5416666666666666,-0.28840936691579416
CNC,0.01007082900251377,0.5176991150442478,-0.7762236817956607
