Date,Close,Volume
,CEG,CEG
2023-05-09,77.48772430419922,3158300
2023-05-10,77.98338317871094,1629400
2023-05-11,77.93116760253906,2497400
2023-05-12,78.65019226074219,1991000
2023-05-15,79.06389617919922,2048300
2023-05-16,77.81297302246094,3709100
2023-05-17,79.18209838867188,2329500
2023-05-18,80.17691802978516,2849300
2023-05-19,81.06339263916016,2407100
2023-05-22,82.27491760253906,1908300
2023-05-23,82.77725219726562,2232200
2023-05-24,82.05821228027344,2430300
2023-05-25,81.50662994384766,1863100
2023-05-26,82.59010314941406,2267100
2023-05-30,82.44235229492188,2198200
2023-05-31,82.7575454711914,5214700
2023-06-01,87.54450988769531,3646900
2023-06-02,86.22465515136719,3225600
2023-06-05,86.19510650634766,1819000
2023-06-06,88.20446014404297,2311500
2023-06-07,89.44552612304688,2452100
2023-06-08,90.91313934326172,3075700
2023-06-09,91.88825225830078,2530100
2023-06-12,92.34135437011719,1720700
2023-06-13,92.8338394165039,2429900
2023-06-14,91.79960632324219,2573200
2023-06-15,92.05570983886719,3712300
2023-06-16,91.4942626953125,4963400
2023-06-20,90.6077880859375,1846900
2023-06-21,89.14017486572266,2684900
2023-06-22,87.90896606445312,3205600
2023-06-23,89.00228118896484,2875900
2023-06-26,89.26821899414062,1890400
2023-06-27,89.48491668701172,1472800
2023-06-28,89.1894302368164,1605400
2023-06-29,89.50460815429688,1738700
2023-06-30,90.17440032958984,2666400
2023-07-03,90.22364807128906,1089100
2023-07-05,90.75553894042969,2087300
2023-07-06,89.63265991210938,2263300
2023-07-07,89.95771026611328,1334000
2023-07-10,92.193603515625,1539300
2023-07-11,92.94218444824219,1260900
2023-07-12,94.61663818359375,1532600
2023-07-13,93.83850860595703,1462400
2023-07-14,93.57256317138672,1259900
2023-07-17,94.7348403930664,1951400
2023-07-18,93.93701171875,1925300
2023-07-19,93.30663299560547,1785300
2023-07-20,95.43416595458984,1600300
2023-07-21,95.14852142333984,5081100
2023-07-24,95.09928131103516,1077800
2023-07-25,96.05469512939453,854800
2023-07-26,95.87741088867188,1243000
2023-07-27,93.98625946044922,897900
2023-07-28,94.30144500732422,1135900
2023-07-31,95.1977767944336,1170200
2023-08-01,94.85303497314453,1469600
2023-08-02,94.11430358886719,2040300
2023-08-03,99.62032318115234,3511000
2023-08-04,102.37824249267578,2723600
2023-08-07,102.19109344482422,1759800
2023-08-08,103.23516082763672,1207300
2023-08-09,103.53064727783203,1646700
2023-08-10,104.1314926147461,1563700
2023-08-11,105.23957824707031,1414100
2023-08-14,105.67413330078125,2404000
2023-08-15,104.92355346679688,1709600
2023-08-16,103.79767608642578,1835200
2023-08-17,103.52114868164062,1800600
2023-08-18,103.47176361083984,1660800
2023-08-21,104.79517364501953,1377000
2023-08-22,104.94330596923828,1276900
2023-08-23,107.09629821777344,1393500
2023-08-24,105.59513092041016,1498700
2023-08-25,104.5581283569336,1383800
2023-08-28,104.06432342529297,1088000
2023-08-29,104.23222351074219,1131500
2023-08-30,104.42974853515625,1167400
2023-08-31,102.86932373046875,2035500
2023-09-01,105.9605484008789,1338800
2023-09-05,104.73590850830078,1433200
2023-09-06,105.31859588623047,1337800
2023-09-07,107.1950454711914,1951100
2023-09-08,107.29381561279297,1428100
2023-09-11,108.61720275878906,1820700
2023-09-12,107.1555404663086,1557100
2023-09-13,107.91600799560547,1894600
2023-09-14,111.06649017333984,2308300
2023-09-15,108.56782531738281,4287700
2023-09-18,109.36778259277344,1358500
2023-09-19,109.17027282714844,1972100
2023-09-20,108.7653579711914,924500
2023-09-21,108.57769775390625,1443800
2023-09-22,108.99250793457031,1210500
2023-09-25,110.81958770751953,2115200
2023-09-26,107.14566040039062,2309700
2023-09-27,109.37767028808594,2819500
2023-09-28,107.96539306640625,1550700
2023-09-29,107.72835540771484,2867500
2023-10-02,103.43225860595703,2892500
2023-10-03,103.59028625488281,2557000
2023-10-04,104.84455108642578,1973900
2023-10-05,106.54322814941406,1589200
2023-10-06,108.80486297607422,2095800
2023-10-09,109.9998550415039,1258400
2023-10-10,111.59978485107422,1464400
2023-10-11,113.6441421508789,1353300
2023-10-12,114.28609466552734,1299700
2023-10-13,112.28124237060547,1699400
2023-10-16,115.38233184814453,1701700
2023-10-17,115.69837188720703,1214600
2023-10-18,114.63174438476562,1050700
2023-10-19,112.8738021850586,981000
2023-10-20,110.7109375,1654400
2023-10-23,110.72080993652344,950800
2023-10-24,112.85404968261719,1930900
2023-10-25,110.64180755615234,1575000
2023-10-26,111.32325744628906,1652700
2023-10-27,109.40730285644531,1128700
2023-10-30,111.6294174194336,1271600
2023-10-31,111.5207748413086,1942000
2023-11-01,113.4268569946289,2751300
2023-11-02,115.73787689208984,1894600
2023-11-03,115.6193618774414,1853200
2023-11-06,123.1844482421875,2530800
2023-11-07,118.38465881347656,2271500
2023-11-08,119.67842864990234,1730200
2023-11-09,119.13524627685547,1603200
2023-11-10,120.2611083984375,1219700
2023-11-13,120.21173858642578,891600
2023-11-14,124.95225524902344,1433300
2023-11-15,120.47838592529297,1982200
2023-11-16,120.4407730102539,1474500
2023-11-17,120.46057891845703,1487900
2023-11-20,121.04460906982422,1041600
2023-11-21,121.27228546142578,984700
2023-11-22,122.00480651855469,1376700
2023-11-24,122.60865020751953,532500
2023-11-27,123.83611297607422,1073200
2023-11-28,123.19268798828125,2003000
2023-11-29,119.36178588867188,2078800
2023-11-30,119.817138671875,2650000
2023-12-01,118.66886138916016,1454900
2023-12-04,117.71855926513672,1946900
2023-12-05,117.1147232055664,1805900
2023-12-06,111.49209594726562,2629800
2023-12-07,109.4133071899414,3497000
2023-12-08,110.08645629882812,2627300
2023-12-11,114.9765396118164,2582900
2023-12-12,113.33331298828125,1846200
2023-12-13,115.25371551513672,1731100
2023-12-14,114.43209838867188,2456400
2023-12-15,117.5502700805664,5714900
2023-12-18,118.15412139892578,2019800
2023-12-19,119.5894546508789,1012700
2023-12-20,115.8278579711914,1324300
2023-12-21,117.1147232055664,904600
2023-12-22,114.16482543945312,1188400
2023-12-26,116.38219451904297,740700
2023-12-27,116.23371124267578,541300
2023-12-28,115.92684173583984,559700
2023-12-29,115.70906829833984,849900
